math231,Midterm Exam 7PM @ TBD,3/25/2024
math257,CHW8,3/28/2024
math257,HW11,3/29/2024
phys211,Homework 19,3/26/2024
phys211,Homework 20,3/26/2024
phys211,Prelecture 22,3/28/2025
phys211,Checkpoint 22,3/28/2024
anth103,Discussion Replies,3/24/2024
anth103,Warmup,3/27/2024
anth103,Discussion Post,3/29/2024
math257,some fuckshit,4/2/2024
econ102,bullshit fucking assignment prolly,4/4/2024
anth103,dumbass assignment,3/18/2024
